no,hanja,reading,meaning_ko,category,confidence,source_count,sources,note
48,矛,모,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
49,窓,창,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
50,窗,창,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
51,策,책,채찍,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 채찍
52,釘,정,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
53,鈒,삽,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
54,鈗,윤,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
55,鏈,련/연,쇠사슬,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 쇠사슬
56,鏦,총,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
57,屁,비,방귀,이름뜻어색함-생리현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 방귀
58,欠,흠,하품,이름뜻어색함-생리현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 하품
59,鼾,한,코골,이름뜻어색함-생리현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 코골
