no,hanja,reading,meaning_ko,category,confidence,source_count,sources,note
38,悍,한,사나울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 사나울
39,愆,건,죄,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죄
40,愎,퍅,사나울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 사나울
41,憎,증,미워할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미워할
42,憸,섬,간사할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 간사할
43,懊,오,원망할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 원망할
44,懗,하,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
45,懟,대,원망할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 원망할
46,戕,장,죽일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽일
47,戮,륙/육,죽일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽일
48,打,타,때릴,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 때릴
49,扱,급,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
50,拐,괴,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
51,捌,팔,깨뜨릴,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 깨뜨릴
52,斃,폐,죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
53,暴,포/폭,사나울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 사나울
54,歿,몰,죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
55,殂,조,죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
56,殉,순,죽은 사람을 따라 죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
57,殍,표,굶어 죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
58,殘,잔,해칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 해칠
59,殞,운,죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
60,殤,상,일찍죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
61,殲,섬,다죽일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽일
62,毆,구,때릴,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 때릴
63,涅,녈/열,죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
64,渨,외,더러울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 더러울
65,災,재,재앙,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 재앙
66,煞,살,죽일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽일
67,猘,제,미친개,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미친
68,猛,맹,사나울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 사나울
69,猥,외,더러울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 더러울
70,獗,궐,도둑 일어날,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 도둑
71,獷,광,사나울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 사나울
72,疴,아,앓을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 앓을
73,瘈,계,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
74,瘐,유,죄인 주려 죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
75,癲,전,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
76,瞞,만,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
77,碎,쇄,부술,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 부술
78,祅,요,재앙,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 재앙
79,穢,예,더러울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 더러울
80,竊,절,좀도둑,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 도둑
81,罰,벌,죄,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죄
82,罵,매,욕할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 욕할
83,薉,예,더러울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 더러울
84,薨,훙,죽을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽을
85,虐,학,사나울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 사나울
86,褻,설,더러울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 더러울
87,覃,담,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
88,訕,산,헐뜯을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 헐뜯을
89,訛,와,거짓말,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 거짓
90,訶,가,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
91,訾,자,헐뜯을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 헐뜯을
92,詆,저,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
93,詐,사,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
94,詬,구,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
95,詭,궤,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
96,誆,광,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
97,誑,광,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
98,誚,초,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
99,誹,비,헐뜯을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 헐뜯을
100,諼,훤,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
101,謗,방,헐뜯을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 헐뜯을
102,謾,만,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
103,譌,와,거짓,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 거짓
104,譎,휼,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
105,譖,참,참소할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 참소할
106,譙,초,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
107,譴,견,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
108,讒,참,참소할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 참소할
109,讞,언,죄 의논할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죄
110,責,채/책,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
111,賊,적,도적,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 도적
112,賤,천,천할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 천할
113,躙,린/인,짓밟을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 짓밟을
114,躪,린/인,짓밟을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 짓밟을
115,迨,태,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
116,逮,체,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
117,邪,사,간사할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 간사할
118,醜,추,추할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 추할
119,鐺,당,죄인 자물쇠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죄
120,騙,편,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
121,騫,건,말 배 앓을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 앓을
122,點,점,더러울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 더러울
123,黷,독,더러울,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 더러울
124,低,저,낮을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 낮을
125,侄,질,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
126,侮,모,업신여길,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 업신여길
127,倥,공,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
128,倦,권,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
129,倨,거,거만할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 거만할
130,倲,동,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
131,傲,오,업신여길,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 업신여길
132,劵,권,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
133,卑,비,낮을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 낮을
134,叨,도,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
135,呆,매,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
136,咍,해,비웃을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 비웃을
137,哱,발,어지러울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어지러울
138,啁,조/주,비웃을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 비웃을
139,嗔,진,성낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 성낼
140,嗚,오,탄식할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탄식할
141,嗟,차,탄식할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탄식할
142,嗤,치,비웃을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 비웃을
143,嗷,오,여럿이 걱정할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 걱정
144,嘲,조,조롱할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 조롱할
145,嘾,담,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
146,噁,오,성낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 성낼
147,噫,희,탄식할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탄식할
148,嚚,은,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
149,圮,비,무너질,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 무너질
150,壞,괴,무너질,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 무너질
151,婪,남/람,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
152,嫚,만,업신여길,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 업신여길
153,嫯,오,업신여길,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 업신여길
154,嬾,난/란,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
155,宂,용,번잡할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 번잡할
156,崩,붕,무너질,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 무너질
157,庳,비,집 낮을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 낮을
158,忉,도,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
159,忡,충,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
160,忨,완,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
161,忿,분,성낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 성낼
162,怕,파,두려울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 두려울
163,怖,포,두려울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 두려울
164,怠,태,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
165,恇,광,겁낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 겁낼
166,恈,모,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
167,恊,협,겁낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 겁낼
168,恐,공,두려울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 두려울
169,恙,양,근심,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
170,恚,에,성낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 성낼
171,恝,괄,걱정 없을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 걱정
172,恨,한,한탄할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 한탄할
173,恫,통,슬플,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 슬플
174,悄,초,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
175,悚,송,두려울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 두려울
176,悲,비,슬플,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 슬플
177,悴,췌,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
178,悻,행,발끈 성낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 성낼
179,惋,완,한탄할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 한탄할
180,惙,철,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
181,惰,타,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
182,惸,경,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
183,惻,측,슬플,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 슬플
184,愍,민,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
185,愚,우,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
186,愷,개,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
187,慍,온,성낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 성낼
188,慠,오,거만할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 거만할
189,慢,만,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
190,慱,단,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
191,慵,용,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
192,慼,척,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
193,慽,척,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
194,慾,욕,욕심낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 욕심낼
195,憂,우,근심,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
196,憍,교,교만할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 교만할
197,憨,감,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
198,懆,조,근심할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
199,懈,해,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
200,懶,나/라,게으를,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 게으를
201,懾,섭,무서울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 무서울
202,戇,당,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
203,戲,희,탄식할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탄식할
204,攪,교,어지러울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어지러울
205,敡,이,업신여길,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 업신여길
206,欲,욕,욕심낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 욕심낼
207,歎,탄,탄식할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탄식할
208,氐,저,낮을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 낮을
209,溷,혼,어지러울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어지러울
210,滑,골/활,어지러울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어지러울
211,獃,애,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
212,畏,외,두려울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 두려울
213,癡,치,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
214,紊,문,어지러울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어지러울
215,繽,빈,어지러울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어지러울
216,罹,리/이,근심,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
217,腐,부,썩을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 썩을
218,蔑,멸,업신여길,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 업신여길
219,訌,홍,무너질,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 무너질
220,詼,회,조롱할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 조롱할
221,誒,희,탄식할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탄식할
222,讉,유,성낼,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 성낼
223,貪,탐,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
224,隤,퇴,무너질,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 무너질
225,顓,전,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
226,飢,기,주릴,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 주릴
227,飻,철,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
228,餮,철,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
229,饉,근,주릴,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 주릴
230,饑,기,주릴,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 주릴
231,饕,도,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
232,饞,참,탐할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탐할
233,騃,애,어리석을,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어리석을
234,騷,소,근심스러울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 근심
235,驕,교,교만할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 교만할
236,鬨,홍,싸울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 싸울
237,齎,재,탄식할,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 탄식할
238,龐,방,어지러울,뜻흉함(자동스캔),중,0,hun 키워드 자동 스캔,매칭 키워드: 어지러울
239,乏,핍,없을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 없을
